"0200000000","0200","80","","","MEAT AND EDIBLE MEAT OFFAL"
"0201000000","0201","80","","","Meat of bovine animals; fresh or chilled"
"0201100000","0201 10","80","Formula","Mixture rule; non-mixture: 6.8% + 93.300 € / 100 kg","Carcasses and half-carcasses"
"0201200000","0201 20","80","","","Other cuts with bone in"
"0201202000","0201 20 20","80","Formula","Mixture rule; non-mixture: 6.8% + 93.300 € / 100 kg","'Compensated' quarters"
"0201203000","0201 20 30","80","Formula","Mixture rule; non-mixture: 6.8% + 74.600 € / 100 kg","Unseparated or separated forequarters"
"0201205000","0201 20 50","80","Formula","Mixture rule; non-mixture: 6.8% + 112.000 € / 100 kg","Unseparated or separated hindquarters"
"0201209000","0201 20 90","80","Formula","Mixture rule; non-mixture: 6.8% + 140.000 € / 100 kg","Other"
"0201300000","0201 30","80","Formula","Mixture rule; non-mixture: 6.8% + 160.100 € / 100 kg","Boneless"
"0202000000","0202","80","","","Meat of bovine animals; frozen"
"0202100000","0202 10","80","Formula","Mixture rule; non-mixture: 6.8% + 93.300 € / 100 kg","Carcasses and half-carcasses"
"0202200000","0202 20","80","","","Other cuts with bone in"
"0202201000","0202 20 10","80","Formula","Mixture rule; non-mixture: 6.8% + 93.300 € / 100 kg","'Compensated' quarters"
"0202203000","0202 20 30","80","Formula","Mixture rule; non-mixture: 6.8% + 74.600 € / 100 kg","Unseparated or separated forequarters"
"0202205000","0202 20 50","80","Formula","Mixture rule; non-mixture: 6.8% + 116.700 € / 100 kg","Unseparated or separated hindquarters"
"0202209000","0202 20 90","80","Formula","Mixture rule; non-mixture: 6.8% + 140.000 € / 100 kg","Other"
"0202300000","0202 30","80","","","Boneless"
"0202301000","0202 30 10","80","Formula","Mixture rule; non-mixture: 6.8% + 116.700 € / 100 kg","Forequarters; whole or cut into a maximum of five pieces; each quarter being in a single block; 'compensated' quarters in two blocks; one of which contains the forequarter; whole or cut into a maximum of five pieces; and the other; the hindquarter; excluding the tenderloin; in one piece"
"0202305000","0202 30 50","80","Formula","Mixture rule; non-mixture: 6.8% + 116.700 € / 100 kg","Crop; chuck-and-blade and brisket cuts"
"0202309000","0202 30 90","80","Formula","Mixture rule; non-mixture: 6.8% + 160.500 € / 100 kg","Other"
"0203000000","0203","80","","","Meat of swine; fresh; chilled or frozen"
"0203110000","","10","","","Fresh or chilled"
"0203110000","0203 11","80","","","Carcasses and half-carcasses"
"0203111000","0203 11 10","80","Formula","Mixture rule; non-mixture: 7.100 € / 100 kg","Of domestic swine"
"0203119000","0203 11 90","80","Formula","Mixture rule; non-mixture: 0.0%","Other"
"0203120000","0203 12","80","","","Hams; shoulders and cuts thereof; with bone in"
"0203121100","","10","","","Of domestic swine"
"0203121100","0203 12 11","80","Formula","Mixture rule; non-mixture: 10.200 € / 100 kg","Hams and cuts thereof"
"0203121900","0203 12 19","80","Formula","Mixture rule; non-mixture: 7.900 € / 100 kg","Shoulders and cuts thereof"
"0203129000","0203 12 90","80","Formula","Mixture rule; non-mixture: 0.0%","Other"
"0203190000","0203 19","80","","","Other"
"0203191100","","10","","","Of domestic swine"
"0203191100","0203 19 11","80","Formula","Mixture rule; non-mixture: 7.900 € / 100 kg","Fore-ends and cuts thereof"
"0203191300","0203 19 13","80","Formula","Mixture rule; non-mixture: 11.400 € / 100 kg","Loins and cuts thereof; with bone in"
"0203191500","0203 19 15","80","Formula","Mixture rule; non-mixture: 6.100 € / 100 kg","Bellies (streaky) and cuts thereof"
"0203195500","","10","","","Other"
"0203195500","0203 19 55","80","Formula","Mixture rule; non-mixture: 11.400 € / 100 kg","Boneless"
"0203195900","0203 19 59","80","Formula","Mixture rule; non-mixture: 11.400 € / 100 kg","Other"
"0203199000","0203 19 90","80","Formula","Mixture rule; non-mixture: 0.0%","Other"
"0203210000","","10","","","Frozen"
"0203210000","0203 21","80","","","Carcasses and half-carcasses"
"0203211000","0203 21 10","80","Formula","Mixture rule; non-mixture: 7.100 € / 100 kg","Of domestic swine"
"0203219000","0203 21 90","80","Formula","Mixture rule; non-mixture: 0.0%","Other"
"0203220000","0203 22","80","","","Hams; shoulders and cuts thereof; with bone in"
"0203221100","","10","","","Of domestic swine"
"0203221100","0203 22 11","80","Formula","Mixture rule; non-mixture: 10.200 € / 100 kg","Hams and cuts thereof"
"0203221900","0203 22 19","80","Formula","Mixture rule; non-mixture: 7.900 € / 100 kg","Shoulders and cuts thereof"
"0203229000","0203 22 90","80","Formula","Mixture rule; non-mixture: 0.0%","Other"
"0203290000","0203 29","80","","","Other"
"0203291100","","10","","","Of domestic swine"
"0203291100","0203 29 11","80","Formula","Mixture rule; non-mixture: 7.900 € / 100 kg","Fore-ends and cuts thereof"
"0203291300","0203 29 13","80","Formula","Mixture rule; non-mixture: 11.400 € / 100 kg","Loins and cuts thereof; with bone in"
"0203291500","0203 29 15","80","Formula","Mixture rule; non-mixture: 6.100 € / 100 kg","Bellies (streaky) and cuts thereof"
"0203295500","","10","","","Other"
"0203295500","0203 29 55","80","Formula","Mixture rule; non-mixture: 11.400 € / 100 kg","Boneless"
"0203295900","0203 29 59","80","Formula","Mixture rule; non-mixture: 11.400 € / 100 kg","Other"
"0203299000","0203 29 90","80","Formula","Mixture rule; non-mixture: 0.0%","Other"
"0204000000","0204","80","","","Meat of sheep or goats; fresh; chilled or frozen"
"0204100000","0204 10","80","Formula","Mixture rule; non-mixture: 12.8% + 171.300 € / 100 kg","Carcasses and half-carcasses of lamb; fresh or chilled"
"0204210000","","10","","","Other meat of sheep; fresh or chilled"
"0204210000","0204 21","80","Formula","Mixture rule; non-mixture: 12.8% + 171.300 € / 100 kg","Carcasses and half-carcasses"
"0204220000","0204 22","80","","","Other cuts with bone in"
"0204221000","0204 22 10","80","Formula","Mixture rule; non-mixture: 12.8% + 119.900 € / 100 kg","Short forequarters"
"0204223000","0204 22 30","80","Formula","Mixture rule; non-mixture: 12.8% + 188.500 € / 100 kg","Chines and/or best ends"
"0204225000","0204 22 50","80","Formula","Mixture rule; non-mixture: 12.8% + 222.700 € / 100 kg","Legs"
"0204229000","0204 22 90","80","Formula","Mixture rule; non-mixture: 12.8% + 222.700 € / 100 kg","Other"
"0204230000","0204 23","80","Formula","Mixture rule; non-mixture: 12.8% + 311.800 € / 100 kg","Boneless"
"0204300000","0204 30","80","Formula","Mixture rule; non-mixture: 12.8% + 128.800 € / 100 kg","Carcasses and half-carcasses of lamb; frozen"
"0204410000","","10","","","Other meat of sheep; frozen"
"0204410000","0204 41","80","Formula","Mixture rule; non-mixture: 12.8% + 128.800 € / 100 kg","Carcasses and half-carcasses"
"0204420000","0204 42","80","","","Other cuts with bone in"
"0204421000","0204 42 10","80","Formula","Mixture rule; non-mixture: 12.8% + 90.200 € / 100 kg","Short forequarters"
"0204423000","0204 42 30","80","Formula","Mixture rule; non-mixture: 12.8% + 141.700 € / 100 kg","Chines and/or best ends"
"0204425000","0204 42 50","80","Formula","Mixture rule; non-mixture: 12.8% + 167.500 € / 100 kg","Legs"
"0204429000","0204 42 90","80","Formula","Mixture rule; non-mixture: 12.8% + 167.500 € / 100 kg","Other"
"0204430000","0204 43","80","","Mixture rule; non-mixture: 12.8% + 234.500 € / 100 kg","Boneless"
"0204431000","0204 43 10","80","Formula","Mixture rule; non-mixture: 12.8% + 234.500 € / 100 kg","Of lamb"
"0204439000","0204 43 90","80","Formula","Mixture rule; non-mixture: 12.8% + 234.500 € / 100 kg","Other"
"0204500000","0204 50","80","","","Meat of goats"
"0204501100","","10","","","Fresh or chilled"
"0204501100","0204 50 11","80","Formula","Mixture rule; non-mixture: 12.8% + 171.300 € / 100 kg","Carcasses and half-carcasses"
"0204501300","0204 50 13","80","Formula","Mixture rule; non-mixture: 12.8% + 119.900 € / 100 kg","Short forequarters"
"0204501500","0204 50 15","80","Formula","Mixture rule; non-mixture: 12.8% + 188.500 € / 100 kg","Chines and/or best ends"
"0204501900","0204 50 19","80","Formula","Mixture rule; non-mixture: 12.8% + 222.700 € / 100 kg","Legs"
"0204503100","","10","","","Other"
"0204503100","0204 50 31","80","Formula","Mixture rule; non-mixture: 12.8% + 222.700 € / 100 kg","Cuts with bone in"
"0204503900","0204 50 39","80","Formula","Mixture rule; non-mixture: 12.8% + 311.800 € / 100 kg","Boneless cuts"
"0204505100","","10","","","Frozen"
"0204505100","0204 50 51","80","Formula","Mixture rule; non-mixture: 12.8% + 128.800 € / 100 kg","Carcasses and half-carcasses"
"0204505300","0204 50 53","80","Formula","Mixture rule; non-mixture: 12.8% + 90.200 € / 100 kg","Short forequarters"
"0204505500","0204 50 55","80","Formula","Mixture rule; non-mixture: 12.8% + 141.700 € / 100 kg","Chines and/or best ends"
"0204505900","0204 50 59","80","Formula","Mixture rule; non-mixture: 12.8% + 167.500 € / 100 kg","Legs"
"0204507100","","10","","","Other"
"0204507100","0204 50 71","80","Formula","Mixture rule; non-mixture: 12.8% + 167.500 € / 100 kg","Cuts with bone in"
"0204507900","0204 50 79","80","Formula","Mixture rule; non-mixture: 12.8% + 234.500 € / 100 kg","Boneless cuts"
"0205000000","0205","80","","Mixture rule; non-mixture: 0.0%","Meat of horses; asses; mules or hinnies; fresh; chilled or frozen"
"0205002000","0205 00 20","80","Formula","Mixture rule; non-mixture: 0.0%","Fresh or chilled"
"0205008000","0205 00 80","80","Formula","Mixture rule; non-mixture: 0.0%","Frozen"
"0206000000","0206","80","","","Edible offal of bovine animals; swine; sheep; goats; horses; asses; mules or hinnies; fresh; chilled or frozen"
"0206100000","0206 10","80","","","Of bovine animals; fresh or chilled"
"0206101000","0206 10 10","80","Formula; AU","Mixture rule; non-mixture; Code reserved for authorised use; the duty rate is specified under regulations made under section 19 of the Taxation (Cross-border Trade) Act 2018","For the manufacture of pharmaceutical products"
"0206109500","","10","","","Other"
"0206109500","0206 10 95","80","Formula","Mixture rule; non-mixture: 6.8% + 160.100 € / 100 kg","Thick skirt and thin skirt"
"0206109800","0206 10 98","80","Formula","Mixture rule; non-mixture: 0.0%","Other"
"0206210000","","10","","","Of bovine animals; frozen"
"0206210000","0206 21","80","Formula","Mixture rule; non-mixture: 0.0%","Tongues"
"0206220000","0206 22","80","Formula","Mixture rule; non-mixture: 0.0%","Livers"
"0206290000","0206 29","80","","","Other"
"0206291000","0206 29 10","80","Formula; AU","Mixture rule; non-mixture; Code reserved for authorised use; the duty rate is specified under regulations made under section 19 of the Taxation (Cross-border Trade) Act 2018","For the manufacture of pharmaceutical products"
"0206299100","","10","","","Other"
"0206299100","0206 29 91","80","Formula","Mixture rule; non-mixture: 6.8% + 160.500 € / 100 kg","Thick skirt and thin skirt"
"0206299900","0206 29 99","80","Formula","Mixture rule; non-mixture: 0.0%","Other"
"0206300000","0206 30","80","Formula","Mixture rule; non-mixture: 0.0%","Of swine; fresh or chilled"
"0206410000","","10","","","Of swine; frozen"
"0206410000","0206 41","80","Formula","Mixture rule; non-mixture: 0.0%","Livers"
"0206490000","0206 49","80","Formula","Mixture rule; non-mixture: 0.0%","Other"
"0206800000","0206 80","80","","","Other; fresh or chilled"
"0206801000","0206 80 10","80","Formula; AU","Mixture rule; non-mixture; Code reserved for authorised use; the duty rate is specified under regulations made under section 19 of the Taxation (Cross-border Trade) Act 2018","For the manufacture of pharmaceutical products"
"0206809100","","10","","","Other"
"0206809100","0206 80 91","80","Formula","Mixture rule; non-mixture: 0.0%","Of horses; asses; mules and hinnies"
"0206809900","0206 80 99","80","Formula","Mixture rule; non-mixture: 0.0%","Of sheep and goats"
"0206900000","0206 90","80","","","Other; frozen"
